mesto,avtor,naslov,producent,leto,zalozba,album
417,Pixies,Monkey Gone to Heaven,Gil Norton,89,Elektra <br />Did Not Chart,"""/music/music-album-reviews/doolittle-248094/""  rel=""nofollow""  target=""_blank""  >Doolittle</a>&#xA0;"
416,Aerosmith,Sweet Emotion,Jack Douglas,75,Columbia <br />8 weeks; No. 36,Toys in the Attic
415,Nirvana,In Bloom,Butch Vig,91,DGC  <br />Non-Single,Nevermind
414,Carpenters,We've Only Just Begun,Jack Daugherty,70,A&M <br />17 weeks; No. 2,Singles 1969-1981
413,Bob Dylan,Visions of Johanna,Bob Johnston,66,Columbia <br />Non-Single,Blonde on Blonde
412,Rihanna Featuring Jay-Z,Umbrella,"Harrell, Stewart",07,Def Jam <br />27 weeks; No. 1,Good Girl Gone Bad
411,Eddie Cochran,C'mon Everybody,Capehart,58,Liberty <br />12 weeks; No. 35,Something&apos; Else
410,Sly and the Family Stone,Thank You (Falettinme Be Mice Elf Agin),Stone,70,Epic <br />13 weeks; No. 1,Anthology
409,The Shirelles,Tonight's the Night,Dixon,60,Scepter <br />12 weeks; No. 39,25 All-Time Greatest Hits
408,Metallica,Enter Sandman,"Bob Rock, Hetfield, Ulrich",91,Elektra  <br />20 weeks; No. 16,"""/music/music-album-reviews/metallica-197553/""  rel=""nofollow""  target=""_blank""  >Metallica"
407,Lynyrd Skynyrd,Sweet Home Alabama,Al Kooper,74,MCA <br />17 weeks; No. 8,"""/music/music-album-reviews/second-helping-205361/""  rel=""nofollow""  target=""_blank""  >Second Helping"
406,Big Star,Thirteen,John Fry,72,Ardent <br />Non-Single,"""/music/music-album-reviews/no-1-record-radio-city-2-250720/""  rel=""nofollow""  target=""_blank""  >#1 Record/Radio City"
405,Blue Öyster Cult,(Don't Fear) the Reaper,"Murray Krugman, Sandy Pearlman, David Lucas",76,Columbia <br />14 weeks; No. 12,Agents of Fortune
404,The Shangri-Las,Remember (Walkin' in the Sand),Morton,64,Red Bird <br />11 weeks; No. 5,The Best of the Shangri-Las
403,Elvis Presley,Can't Help Falling in Love,Joseph Lilley,61,RCA <br />14 weeks; No. 1,"""/music/music-album-reviews/elvis-30-1-hits-190668/""  rel=""nofollow""  target=""_blank""  >Elvis 30 #1 Hits"
402,The Five Stairsteps,O-o-h Child,Vincent,70,Buddha <br />16 weeks; No. 8,Soul Hits of the &apos;70s: Didn&apos;t It Blow Your Mind! Vol. 2
401,The Lovin' Spoonful,Summer in the City,Erik Jacobsen,66,Kama Sutra <br />11 weeks; No. 1,The Lovin&apos; Spoonful Greatest Hits
400,The Four Tops,Baby I Need Your Loving,"Holland, Dozier, Holland",64,Motown <br />12 weeks; No. 11,The Ultimate Collection
399,The Temptations,Just My Imagination,Whitfield,71,Gordy <br />15 weeks; No. 1,Anthology
398,The Police,Roxanne,The Police,79,A&M <br />13 weeks; No. 32,"""/music/music-album-reviews/outlandos-damour-192567/""  rel=""nofollow""  target=""_blank""  >Outlandos d&apos;Amour"
397,Elton John,Tiny Dancer,Gus Dudgeon,71,Uni <br />7 weeks; No. 41,"""/music/music-album-reviews/madman-across-the-water-100068/""  rel=""nofollow""  target=""_blank""  >Madman Across the Water"
396,Eric B. and Rakim,Know You Got Soul,Eric B. and Rakim,87,4th and Broadway <br />Did Not Chart,Paid in Full
395,"Crosby, Stills, Nash and Young",Ohio,"Crosby, Stills, Nash, Young",70,Atlantic <br />9 weeks; No. 14,Decade
394,The Beatles,Ticket to Ride,George Martin,65,Capitol <br />11 weeks; No. 1,Help!
393,The Allman Brothers Band,Whipping Post,Tom Dowd,69,Capricorn <br />Non-single,At Fillmore East
392,The Verve,Bitter Sweet Symphony,"The Verve, Christopher Marc Potter, Youth",97,Virgin <br />20 weeks; No. 12,Urban Hymns
391,Aaron Neville,Tell It Like It Is,Davis,66,Par Lo <br />14 weeks; No. 2,Tell It Like It Is: Golden Classics
390,Elton John,Goodbye Yellow Brick Road,Gus Dudgeon,73,MCA <br />17 weeks; No. 2,"""/music/music-album-reviews/goodbye-yellow-brick-road-249137/""  rel=""nofollow""  target=""_blank""  >Goodbye Yellow Brick Road"
389,R.E.M.,Radio Free Europe,"Mitch Easter, Don Dixon",83,I.R.S. <br />5 weeks; No. 78,Murmur
